idx,p_x,p_y,p_z,q_w,q_x,q_y,q_z
203,-1.42211,1.37094,0.832213,0.729339,0.00696838,0.0135231,-0.683983
204,-1.41627,1.37248,0.82914,0.729018,0.00730701,0.0133607,-0.684325
205,-1.41447,1.37285,0.828127,0.729618,0.00729717,0.0131709,-0.683689
206,-1.41011,1.37386,0.825589,0.729043,0.00617883,0.0140085,-0.684296
207,-1.407,1.37409,0.823523,0.729668,0.00620658,0.0137917,-0.683635
208,-1.40285,1.37499,0.821178,0.729201,0.00448247,0.0151954,-0.684117
209,-1.39994,1.37526,0.819161,0.729913,0.00466781,0.0126991,-0.683406
210,-1.39555,1.37583,0.816873,0.729216,0.00450303,0.0135015,-0.684136
211,-1.39265,1.37619,0.816003,0.729095,0.00492595,0.0132135,-0.684267
212,-1.38788,1.37643,0.815044,0.72953,0.0055649,0.00989859,-0.683854
213,-1.38512,1.37694,0.814901,0.728952,0.00437396,0.0115203,-0.684453
214,-1.38052,1.3773,0.813968,0.72899,0.00327423,0.0115142,-0.68442
215,-1.37889,1.3776,0.813587,0.728932,0.00283941,0.0112839,-0.684487
216,-1.37435,1.37838,0.812528,0.728841,0.00136749,0.0113926,-0.684587
217,-1.36959,1.37919,0.811362,0.728305,0.000186408,0.0109697,-0.685165
218,-1.36423,1.37999,0.80968,0.728911,0.000497002,0.00909306,-0.684548
219,-1.36115,1.3813,0.809186,0.728225,-6.76566e-07,0.010543,-0.685257
220,-1.3574,1.38215,0.807998,0.728666,0.000428389,0.00899124,-0.68481
221,-1.35382,1.38345,0.807377,0.728956,0.00088769,0.00843573,-0.684508
222,-1.34833,1.3854,0.806492,0.729299,0.00223866,0.00885487,-0.684134
223,-1.34443,1.38702,0.805761,0.729495,0.00257968,0.00726201,-0.683943
224,-1.3369,1.39064,0.804928,0.729255,0.00389512,0.00835363,-0.68418
225,-1.33545,1.39151,0.804822,0.729331,0.00453689,0.00892134,-0.684088
226,-1.32947,1.39382,0.803938,0.729893,0.00754046,0.00812665,-0.683471
227,-1.32773,1.39471,0.803898,0.729564,0.00818056,0.00845472,-0.683812
228,-1.32096,1.39932,0.80461,0.725867,0.00438882,0.00534867,-0.6878
229,-1.31745,1.40183,0.804876,0.723539,0.00163029,1.46194e-06,-0.690282
230,-1.31246,1.40598,0.805836,0.720318,-0.00116144,-0.000557309,-0.693643
231,-1.31088,1.40749,0.806195,0.71918,-0.00117199,-9.82856e-06,-0.694823
232,-1.30449,1.41377,0.807857,0.715336,-0.000514973,0.0040564,-0.698769
233,-1.301,1.41762,0.809173,0.713461,0.00115284,0.0074362,-0.700654
234,-1.29585,1.42318,0.811227,0.710936,0.00325898,0.0107228,-0.703167
235,-1.29408,1.42506,0.812147,0.710063,0.00410259,0.0113917,-0.704034
236,-1.28725,1.43273,0.816406,0.706,0.0078956,0.0165931,-0.707973
237,-1.28537,1.43452,0.817627,0.70544,0.00867976,0.0160616,-0.708535
238,-1.27982,1.43954,0.82168,0.70305,0.0112268,0.017887,-0.710827
239,-1.27592,1.44259,0.824763,0.701671,0.0128936,0.0193175,-0.712123
240,-1.26806,1.44729,0.831441,0.699147,0.0147342,0.0201285,-0.714543
241,-1.26582,1.44855,0.833743,0.69823,0.0150244,0.0217751,-0.715384
242,-1.2601,1.4505,0.839135,0.696864,0.016001,0.0228652,-0.71666
243,-1.25599,1.45147,0.843066,0.695493,0.0161716,0.0227403,-0.717991
244,-1.24972,1.45192,0.848877,0.694333,0.0170402,0.0203791,-0.719164
245,-1.24782,1.45192,0.851043,0.693639,0.0167723,0.0198282,-0.719854
246,-1.23995,1.45112,0.860052,0.69134,0.015902,0.0168529,-0.722158
247,-1.23617,1.45023,0.864725,0.690172,0.0156559,0.0149816,-0.723321
248,-1.23237,1.44909,0.869591,0.689231,0.0157374,0.0137553,-0.72424
249,-1.22656,1.44628,0.876698,0.68864,0.0169562,0.0116376,-0.724811
250,-1.22198,1.44373,0.8853,0.686939,0.016713,0.0117523,-0.726428
251,-1.2202,1.44264,0.888529,0.686336,0.0171181,0.0112558,-0.726996
252,-1.21619,1.43956,0.89694,0.685263,0.0179911,0.0102321,-0.728001
253,-1.21245,1.43599,0.906649,0.684061,0.0178314,0.00827792,-0.72916
254,-1.21011,1.43334,0.913733,0.683554,0.0182196,0.00927409,-0.729614
255,-1.2084,1.43078,0.921484,0.682338,0.0175235,0.00795986,-0.730784
256,-1.20534,1.4251,0.937895,0.68126,0.0187893,0.0088362,-0.731747
257,-1.20468,1.42351,0.942178,0.681193,0.0188182,0.00916198,-0.731805
258,-1.20312,1.41858,0.955379,0.680471,0.0188151,0.0113742,-0.732445
259,-1.2022,1.41519,0.964286,0.679908,0.0189723,0.0123219,-0.732948
260,-1.20095,1.4077,0.981926,0.678944,0.0191286,0.0125997,-0.733832
261,-1.20074,1.40572,0.986335,0.678689,0.0192802,0.0128067,-0.734061
262,-1.20027,1.39926,0.998981,0.677831,0.0196388,0.0110356,-0.734872
263,-1.20029,1.39491,1.00659,0.677133,0.0200221,0.0137541,-0.735459
264,-1.20036,1.38777,1.01625,0.676557,0.0201845,0.0137312,-0.735985
265,-1.20054,1.38281,1.02226,0.675901,0.0201627,0.0135148,-0.736593
266,-1.20092,1.37477,1.031,0.675247,0.0208964,0.011777,-0.737201
267,-1.20186,1.36941,1.03742,0.674246,0.0206447,0.0125388,-0.738112
268,-1.2031,1.3608,1.04685,0.673657,0.0211755,0.0122345,-0.738639
269,-1.20363,1.35774,1.04994,0.67337,0.0209093,0.011117,-0.738926
270,-1.20615,1.34543,1.0623,0.672439,0.0212784,0.00996946,-0.739779
271,-1.207,1.3424,1.06568,0.671775,0.0206152,0.0101867,-0.740398
272,-1.21077,1.32972,1.07815,0.67053,0.0196532,0.00884861,-0.741569
273,-1.21176,1.32643,1.08113,0.670242,0.0193398,0.00812287,-0.741847
274,-1.21519,1.31679,1.09001,0.669352,0.0184967,0.00724391,-0.74268
275,-1.21778,1.3097,1.09623,0.66876,0.018536,0.00703047,-0.743214
276,-1.22278,1.29701,1.10664,0.667851,0.018519,0.00774063,-0.744025
277,-1.22425,1.29388,1.10928,0.667566,0.0190332,0.00883381,-0.744254
278,-1.22873,1.28405,1.11675,0.666452,0.0193181,0.00913977,-0.745241
279,-1.2319,1.27739,1.1216,0.666305,0.0201939,0.00858221,-0.745357
280,-1.23745,1.267,1.12906,0.666035,0.0212567,0.00672504,-0.745587
281,-1.2408,1.26092,1.13332,0.665907,0.0220649,0.00649568,-0.74568
282,-1.24692,1.25028,1.14048,0.665705,0.0237882,0.00475681,-0.745821
283,-1.25122,1.24436,1.14499,0.664959,0.0236152,0.00403869,-0.746496
284,-1.25828,1.23435,1.15206,0.665138,0.0244297,0.00489994,-0.746305
285,-1.26361,1.22778,1.15681,0.664878,0.0247094,0.00527585,-0.746524
286,-1.2721,1.21786,1.16362,0.664466,0.0246414,0.00455469,-0.746898
287,-1.27496,1.21451,1.16594,0.664186,0.0245489,0.00394999,-0.747154
288,-1.288,1.20126,1.17518,0.663691,0.0240672,0.00263668,-0.747615
289,-1.29501,1.19472,1.17986,0.663233,0.0242016,0.00247913,-0.748018
290,-1.30653,1.18494,1.18707,0.662627,0.0250789,0.00153589,-0.748528
291,-1.3108,1.18176,1.18945,0.662404,0.0252101,0.00106107,-0.748722
292,-1.3282,1.16899,1.19846,0.662154,0.0260724,7.22008e-05,-0.748914
293,-1.333,1.16587,1.20065,0.661938,0.0260288,5.91637e-05,-0.749107
294,-1.35307,1.15337,1.20913,0.661372,0.0262564,0.000807753,-0.749598
295,-1.35844,1.15034,1.21121,0.661117,0.0259929,0.000797207,-0.749832
296,-1.37516,1.14106,1.21731,0.660308,0.0255724,0.00287219,-0.750554
297,-1.38684,1.13494,1.22131,0.660066,0.0249246,0.00409008,-0.750783
298,-1.40727,1.12474,1.22775,0.659457,0.0237768,0.00658197,-0.751338
299,-1.41766,1.11958,1.23068,0.65929,0.0229068,0.00760318,-0.751501
300,-1.43667,1.11006,1.23582,0.659563,0.0212836,0.0100675,-0.75128
301,-1.44956,1.10367,1.23911,0.659394,0.0197862,0.0119902,-0.751442
302,-1.46871,1.09391,1.24374,0.659335,0.0176268,0.015427,-0.751484
303,-1.47633,1.09014,1.24565,0.659325,0.0161534,0.0153603,-0.751527
304,-1.50025,1.07773,1.2517,0.659593,0.0114583,0.0171485,-0.75134
305,-1.51238,1.07128,1.25502,0.659681,0.00851202,0.0172737,-0.751299
306,-1.54522,1.0528,1.26434,0.660648,0.0034714,0.0186902,-0.750455
307,-1.56116,1.04353,1.26952,0.66125,0.00111603,0.015598,-0.750002
308,-1.57539,1.03524,1.27449,0.661284,0.000662783,0.0140704,-0.750003
309,-1.58454,1.03016,1.27814,0.661482,0.00155631,0.0144334,-0.74982
310,-1.59321,1.0253,1.28183,0.661618,0.00280545,0.0116889,-0.749745
311,-1.61764,1.01259,1.29507,0.662205,0.00683217,0.00776866,-0.749251
312,-1.62209,1.0103,1.29798,0.662218,0.00772218,0.00750172,-0.749234
313,-1.63313,1.00551,1.30528,0.662139,0.00864421,0.00673812,-0.749301
314,-1.64094,1.00241,1.31059,0.661967,0.00878165,0.00669837,-0.749451
315,-1.64887,0.99948,1.31611,0.661999,0.00873798,0.00676734,-0.749423
316,-1.65652,0.996772,1.3216,0.661624,0.00907386,0.0079757,-0.749738
317,-1.67234,0.991983,1.33287,0.661367,0.0105031,0.00934179,-0.749931
318,-1.67621,0.990856,1.33557,0.661065,0.0108075,0.00937388,-0.750192
